index,time,lat,lon,east_cm,north_cm,quality
784,075325.95,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
785,075326.05,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
786,075326.15,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
787,075326.25,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
788,075326.35,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
789,075326.45,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
790,075326.55,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
791,075326.65,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
792,075326.75,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
793,075326.85,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
794,075326.95,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
795,075327.05,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
796,075327.15,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
797,075327.25,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
798,075327.35,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
799,075327.45,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
800,075327.55,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
801,075327.65,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
802,075327.75,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
803,075327.85,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
804,075327.95,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
805,075328.05,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
806,075328.15,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
807,075328.25,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
808,075328.35,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
809,075328.45,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
810,075328.55,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
811,075328.65,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
812,075328.75,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
813,075328.85,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
814,075328.95,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
815,075329.05,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
816,075329.15,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
817,075329.25,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
818,075329.35,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
819,075329.45,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
820,075329.55,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
821,075329.65,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
822,075329.75,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
823,075329.85,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
824,075329.95,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
825,075330.05,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
826,075330.15,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
